$NML Br1 inflow Tw year 2006 YC 03/22/2023,
",,,",
Jday,Tw
141.4166667,10.24447859
141.4583333,10.29741229
141.5,10.3179198
141.5416667,10.3179198
141.5833333,10.23399056
141.625,10.16388918
141.6666667,10.0937878
141.7083333,10.00985856
141.75,10.01685978
141.7916667,9.97480787
141.8333333,9.93975718
141.875,9.886823485
141.9166667,9.799554419
141.9583333,9.708312463
142,9.670344904
142.0416667,9.742552834
142.0833333,9.690261354
142.125,9.598136975
142.1666667,9.54361262
142.2083333,9.45921359
142.25,9.405426051
142.2916667,9.276427872
142.3333333,9.261277672
142.375,9.222940832
142.4166667,9.211486548
142.4583333,9.266010902
142.5,9.308344157
142.5416667,9.350677412
142.5833333,9.477409696
142.625,9.58572159
142.6666667,9.748557839
142.7083333,9.874553308
142.75,9.892236882
142.7916667,9.856132918
142.8333333,9.766241414
142.875,9.65792952
142.9166667,9.471180406
142.9583333,9.308344157
143,9.061290426
143.0416667,8.982547899
143.0833333,8.939736735
143.125,8.874430579
143.1666667,8.825615877
143.2083333,8.776801175
143.25,8.743818268
143.2916667,8.727326814
143.3333333,8.711495019
143.375,8.743818268
143.4166667,8.841447672
143.4583333,8.963661022
143.5,9.112500552
143.5416667,9.219958215
143.5833333,9.365742663
143.625,9.48903212
143.6666667,9.666480159
143.7083333,9.810945291
143.75,9.923746833
143.7916667,10.03588872
143.8333333,10.138862
143.875,10.17718879
143.9166667,10.15086908
143.9583333,10.03872719
144,9.841263572
144.0416667,9.498069118
144.0833333,9.382149378
144.125,9.343152676
144.1666667,9.336118043
144.2083333,9.263963919
144.25,9.239161471
144.2916667,9.258124639
144.3333333,9.277087808
144.375,9.31024523
144.4166667,9.325030911
144.4583333,9.26166487
144.5,9.378813294
144.5416667,9.403024315
144.5833333,9.504749801
144.625,9.601706374
144.6666667,9.851917596
144.7083333,10.05359429
144.75,10.21150536
144.7916667,10.41735954
144.8333333,10.56584528
144.875,10.59423378
144.9166667,10.56941884
144.9583333,10.48307046
145,10.46981373
145.0416667,10.23428047
145.0833333,10.13398634
145.125,10.08413331
145.1666667,9.983839182
145.2083333,9.868205954
145.25,9.884133114
145.2916667,9.860337205
145.3333333,9.947650184
145.375,9.882459955
145.4166667,9.845588068
145.4583333,9.807872494
145.5,9.898292284
145.5416667,9.854046783
145.5833333,9.940771704
145.625,10.01274749
145.6666667,10.09888245
145.7083333,10.24224405
145.75,10.49445333
145.7916667,10.68825602
145.8333333,10.79366255
145.875,10.77950338
145.9166667,10.74498944
145.9583333,10.63053615
146,10.47387746
146.0416667,10.34435496
146.0833333,10.26168294
146.125,10.20743245
146.1666667,10.13837907
146.2083333,10.06614103
146.25,10.03944788
146.2916667,10.01043424
146.3333333,10.05365864
146.375,10.07716712
146.4166667,10.14940517
146.4583333,10.12764083
146.5,10.15287768
146.5416667,10.22279524
146.5833333,10.2912565
146.625,10.37392851
146.6666667,10.56044478
146.7083333,10.80486981
146.75,10.64689358
146.7916667,10.57524765
146.8333333,10.47836487
146.875,10.33825769
146.9166667,10.12154355
146.9583333,9.90482942
147,9.757437564
147.0416667,9.612659835
147.0833333,9.568931052
147.125,9.496246723
147.1666667,9.330364944
147.2083333,9.469014671
147.25,9.483787909
147.2916667,9.512743455
147.3333333,9.512743455
147.375,9.45251794
147.4166667,9.451762897
147.4583333,9.538629534
147.5,9.564138091
147.5416667,9.648690305
147.5833333,9.720028661
147.625,9.818763182
147.6666667,9.903315396
147.7083333,10.04007128
147.75,9.817039688
147.7916667,9.583671829
147.8333333,9.527484232
147.875,9.455390832
147.9166667,9.324795412
147.9583333,9.237337845
148,9.083768155
148.0416667,8.951683855
148.0833333,8.949757541
148.125,8.884407271
148.1666667,8.745000994
148.2083333,8.831237069
148.25,8.831237069
148.2916667,8.7924719
148.3333333,8.846184656
148.375,8.891958218
148.4166667,8.972256076
148.4583333,9.147256825
148.5,9.399544012
148.5416667,9.612523478
148.5833333,9.850161731
148.625,9.956800791
148.6666667,10.10111991
148.7083333,10.28313901
148.75,10.14072629
148.7916667,10.04765106
148.8333333,9.915512001
148.875,9.742681464
148.9166667,9.531085759
148.9583333,9.331968775
149,9.075791754
149.0416667,8.892676945
149.0833333,8.771925057
149.125,8.713045229
149.1666667,8.721009881
149.2083333,8.649268553
149.25,8.600673281
149.2916667,8.645867821
149.3333333,8.694463093
149.375,8.864301114
149.4166667,9.106295751
149.4583333,9.335037132
149.5,9.541654456
149.5416667,9.768923253
149.5833333,9.995701189
149.625,10.24362146
149.6666667,10.32850517
149.7083333,10.48222034
149.75,10.59949593
149.7916667,10.57544372
149.8333333,10.46892681
149.875,10.2671828
149.9166667,10.08658113
149.9583333,9.905488596
150,9.585928886
150.0416667,9.476617156
150.0833333,9.355954237
150.125,9.311755762
150.1666667,9.223716521
150.2083333,9.146402873
150.25,9.156726161
150.2916667,9.112483091
150.3333333,9.177775043
150.375,9.276986777
150.4166667,9.410252393
150.4583333,9.82533271
150.5,10.1412908
150.5416667,10.36871815
150.5833333,10.5952963
150.625,10.72395882
150.6666667,10.88528961
150.7083333,10.97154125
150.75,10.99299244
150.7916667,10.91791329
150.8333333,10.82093605
150.875,10.70313323
150.9166667,10.57433661
150.9583333,10.38011394
151,10.23411605
151.0416667,10.05408789
151.0833333,9.971421208
151.125,9.864882804
151.1666667,9.856575581
151.2083333,9.803088953
151.25,9.826525827
151.2916667,9.826525827
151.3333333,9.934483693
151.375,10.09450873
151.4166667,10.25830171
151.4583333,10.5606686
151.5,10.80331525
151.5416667,11.05552862
151.5833333,11.24196463
151.625,11.41981854
151.6666667,11.4894397
151.7083333,11.56249461
151.75,11.57293102
151.7916667,11.4894397
151.8333333,11.4615642
151.875,11.25802331
151.9166667,11.1077107
151.9583333,10.93242083
152,10.93098846
152.0416667,10.70671829
152.0833333,10.57610646
152.125,10.48295852
152.1666667,10.37005363
152.2083333,10.29461264
152.25,10.28229574
152.2916667,10.42103097
152.3333333,10.73408544
152.375,11.24523668
152.4166667,11.0902665
152.4583333,11.23223645
152.5,11.14242854
152.5416667,11.3533554
152.5833333,11.41981673
152.625,11.6055966
152.6666667,11.72132551
152.7083333,11.86912828
152.75,11.91839587
152.7916667,11.89376207
152.8333333,11.73364241
152.875,11.74665449
152.9166667,11.50218458
152.9583333,11.36079546
153,11.25628764
153.0416667,11.01580681
153.0833333,10.75079503
153.125,10.65774161
153.1666667,10.6194423
153.2083333,10.67277116
153.25,10.92669223
153.2916667,11.13837516
153.3333333,11.24394453
153.375,11.21585485
153.4166667,11.12314089
153.4583333,11.23874449
153.5,11.40567567
153.5416667,11.68102672
153.5833333,11.8932106
153.625,12.02381189
153.6666667,12.16479566
153.7083333,12.28179265
153.75,12.32097304
153.7916667,12.29791054
153.8333333,12.15676272
153.875,11.86889571
153.9166667,11.52573042
153.9583333,11.27649963
154,11.28414218
154.0416667,11.10888784
154.0833333,11.03698193
154.125,10.99565358
154.1666667,10.90710126
154.2083333,10.9809395
154.25,11.12788814
154.2916667,11.37758296
154.3333333,11.58271138
154.375,11.61065315
154.4166667,11.711467
154.4583333,11.88455068
154.5,12.13147259
154.5416667,12.42010854
154.5833333,12.72531145
154.625,12.82264892
154.6666667,12.96875698
154.7083333,13.09824042
154.75,13.09928603
154.7916667,12.9280091
154.8333333,12.58171617
154.875,12.10256466
154.9166667,11.72495481
154.9583333,11.60968699
155,11.41478849
155.0416667,11.25371873
155.0833333,11.30535206
155.125,11.24867346
155.1666667,11.29616314
155.2083333,11.64501342
155.25,12.05030927
155.2916667,12.24915296
155.3333333,12.32635217
155.375,12.29863339
155.4166667,12.2933196
155.4583333,12.42222302
155.5,12.59586551
155.5416667,12.63148655
155.5833333,12.88015009
155.625,13.0174826
155.6666667,13.21281586
155.7083333,13.29001507
155.75,13.31773384
155.7916667,13.17467724
155.8333333,12.80886239
155.875,12.51486207
155.9166667,12.23630159
155.9583333,12.04973683
156,11.91273046
156.0416667,11.80127512
156.0833333,11.76980537
156.125,11.70258966
156.1666667,11.74132052
156.2083333,11.80491562
156.25,12.06833673
156.2916667,12.18581345
156.3333333,12.19487133
156.375,12.20090991
156.4166667,12.28929776
156.4583333,12.37768562
156.5,12.51327809
156.5416667,12.75599537
156.5833333,13.0302195
156.625,13.14871156
156.6666667,13.41620438
156.7083333,13.53538916
156.75,13.62074052
156.7916667,13.47978229
156.8333333,13.15000559
156.875,12.6936943
156.9166667,12.27659938
156.9583333,12.0138167
157,11.83836234
157.0416667,11.69898585
157.0833333,11.64875013
157.125,11.71148615
157.1666667,11.62618761
157.2083333,11.94384564
157.25,12.43385364
157.2916667,12.62802796
157.3333333,12.64337216
157.375,12.58793499
157.4166667,12.60748231
157.4583333,12.73023592
157.5,12.82650424
157.5416667,12.99885423
157.5833333,13.15229623
157.625,13.3511315
157.6666667,13.53169813
157.7083333,13.65381239
157.75,13.80012684
157.7916667,13.68093701
157.8333333,13.37441389
157.875,13.00707087
157.9166667,12.69954751
157.9583333,12.43385364
158,12.32659474
158.0416667,12.22832893
158.0833333,12.17462114
158.125,12.13647448
158.1666667,12.23477557
158.2083333,12.41642973
158.25,12.79184177
158.2916667,12.86423182
158.3333333,12.98985034
158.375,13.05911925
158.4166667,13.05911925
158.4583333,13.08105641
158.5,13.1963603
158.5416667,13.34066109
158.5833333,13.4553166
158.625,13.65761116
158.6666667,13.7750757
158.7083333,13.770825
158.75,13.74953622
158.7916667,13.56280277
158.8333333,13.30059157
158.875,12.91561176
158.9166667,12.5570576
158.9583333,12.33790516
159,12.29242999
159.0416667,12.18437835
159.0833333,12.17850893
159.125,12.14562003
159.1666667,12.12711317
159.2083333,12.23516482
159.25,12.45063251
159.2916667,12.41654537
159.3333333,12.57830002
159.375,12.61142563
159.4166667,12.58678634
159.4583333,12.64954835
159.5,12.73168951
159.5416667,12.91537731
159.5833333,13.02477467
159.625,13.14680947
159.6666667,13.31199041
159.7083333,13.38762656
159.75,13.43077271
159.7916667,13.29150225
159.8333333,13.09027916
159.875,12.68069265
159.9166667,12.37369885
159.9583333,12.12835806
160,11.84285928
160.0416667,11.62799594
160.0833333,11.63049568
160.125,11.76381261
160.1666667,11.89653926
160.2083333,12.09723579
160.25,12.32567566
160.2916667,12.24002097
160.3333333,12.38842022
160.375,12.34282976
160.4166667,12.32402791
160.4583333,12.38618218
160.5,12.60630671
160.5416667,12.8283407
160.5833333,13.09691988
160.625,13.18192076
160.6666667,13.23858802
160.7083333,13.27155668
160.75,13.20381264
160.7916667,13.02486938
160.8333333,12.82322147
160.875,12.50963876
160.9166667,12.19678828
160.9583333,12.05857461
161,12.01402519
161.0416667,11.84402145
161.0833333,11.70404054
161.125,11.69081634
161.1666667,11.67835564
161.2083333,11.90958512
161.25,12.20880956
161.2916667,12.46548081
161.3333333,12.46378033
161.375,12.52042502
161.4166667,12.62014328
161.4583333,12.61861626
161.5,13.12789808
161.5416667,13.41601423
161.5833333,13.62812159
161.625,13.89312319
161.6666667,14.06246721
161.7083333,14.12140243
161.75,13.98038076
161.7916667,13.72818677
161.8333333,13.4036599
