$Tulloch Br1 inflow Tw year 2005 YC 04/11/2023,
",,,",
Jday,Inflow Tw
34.16666667,9.39
34.20833333,9.23
34.25,9.23
34.29166667,9.23
34.33333333,9.08
34.375,9.08
34.41666667,9.08
34.45833333,9.23
34.5,9.39
34.54166667,9.86
34.58333333,10.17
34.625,10.33
34.66666667,10.33
34.70833333,10.33
34.75,10.33
34.79166667,10.17
34.83333333,10.17
34.875,10.01
34.91666667,10.01
34.95833333,9.86
35,9.7
35.04166667,9.39
35.08333333,9.39
35.125,9.39
35.16666667,9.23
35.20833333,9.08
35.25,9.08
35.29166667,9.08
35.33333333,8.92
35.375,8.92
35.41666667,9.08
35.45833333,9.08
35.5,9.23
35.54166667,9.86
35.58333333,10.17
35.625,10.33
35.66666667,10.33
35.70833333,10.48
35.75,10.33
35.79166667,10.17
35.83333333,10.17
35.875,10.01
35.91666667,9.86
35.95833333,9.7
36,9.7
36.04166667,9.7
36.08333333,9.54
36.125,9.39
36.16666667,9.39
36.20833333,9.23
36.25,9.23
36.29166667,9.23
36.33333333,9.23
36.375,9.08
36.41666667,9.08
36.45833333,9.08
36.5,9.39
36.54166667,9.86
36.58333333,10.33
36.625,10.33
36.66666667,10.48
36.70833333,10.33
36.75,10.33
36.79166667,10.17
36.83333333,10.01
36.875,10.01
36.91666667,9.86
36.95833333,9.7
37,9.7
37.04166667,9.54
37.08333333,9.39
37.125,9.39
37.16666667,9.39
37.20833333,9.39
37.25,9.23
37.29166667,9.23
37.33333333,9.23
37.375,9.23
37.41666667,9.23
37.45833333,9.39
37.5,9.86
37.54166667,10.48
37.58333333,10.79
37.625,10.95
37.66666667,11.26
37.70833333,11.11
37.75,10.95
37.79166667,10.64
37.83333333,10.33
37.875,10.17
37.91666667,10.17
37.95833333,10.01
38,9.86
38.04166667,9.7
38.08333333,9.54
38.125,9.39
38.16666667,9.39
38.20833333,9.39
38.25,9.39
38.29166667,9.39
38.33333333,9.39
38.375,9.39
38.41666667,9.54
38.45833333,9.7
38.5,9.86
38.54166667,9.86
38.58333333,10.01
38.625,10.01
38.66666667,10.17
38.70833333,10.17
38.75,10.01
38.79166667,10.01
38.83333333,9.86
38.875,9.7
38.91666667,9.39
38.95833333,9.39
39,9.39
39.04166667,9.23
39.08333333,9.23
39.125,9.23
39.16666667,9.23
39.20833333,9.23
39.25,9.23
39.29166667,9.23
