$used Ripon Tw  for Tulloch qdt Tw year 2006  YC 04/10/2023,
",,,",
Jday,Inflow Tw
287.0833333,16.38888889
287.125,16.38888889
287.1666667,16.38888889
287.2083333,16.11111111
287.25,16.27777778
287.2916667,15.72222222
287.3333333,15.55555556
287.375,15.5
287.4166667,15.5
287.4583333,15.72222222
287.5,16.05555556
287.5416667,16.38888889
287.5833333,16.77777778
287.625,17.05555556
287.6666667,17.22222222
287.7083333,17.27777778
287.75,17.5
287.7916667,17.16666667
287.8333333,17
287.875,16.83333333
287.9166667,16.66666667
287.9583333,16.55555556
288,16.44444444
288.0416667,16.38888889
288.0833333,16.38888889
288.125,16.33333333
288.1666667,16.27777778
288.2083333,16.16666667
288.25,16.11111111
288.2916667,16.38888889
288.3333333,15.83333333
288.375,15.77777778
288.4166667,15.88888889
288.4583333,15.83333333
288.5,16
288.5416667,16.27777778
288.5833333,16.33333333
288.625,16.66666667
288.6666667,16.66666667
288.7083333,16.77777778
288.75,16.66666667
288.7916667,16.61111111
288.8333333,16.44444444
288.875,16.33333333
288.9166667,16.22222222
288.9583333,16.11111111
289,16.05555556
289.0416667,16.33333333
289.0833333,16
289.125,15.94444444
289.1666667,15.77777778
289.2083333,15.66666667
289.25,15.44444444
289.2916667,15.22222222
289.3333333,15.05555556
289.375,15
289.4166667,15
289.4583333,15.16666667
289.5,15.44444444
289.5416667,15.77777778
289.5833333,16.11111111
289.625,16.38888889
289.6666667,16.55555556
289.7083333,16.61111111
289.75,16.55555556
289.7916667,16.61111111
289.8333333,16.38888889
289.875,16.22222222
289.9166667,16.11111111
289.9583333,16
290,15.88888889
290.0416667,15.83333333
290.0833333,16.11111111
290.125,15.77777778
290.1666667,15.83333333
290.2083333,15.5
290.25,15.33333333
290.2916667,15.22222222
290.3333333,14.94444444
290.375,15.11111111
290.4166667,14.83333333
290.4583333,15
290.5,15.33333333
290.5416667,15.66666667
290.5833333,16.05555556
290.625,16.27777778
290.6666667,16.38888889
290.7083333,16.44444444
290.75,16.38888889
290.7916667,16.27777778
290.8333333,16.22222222
290.875,16.11111111
290.9166667,16
290.9583333,15.94444444
291,15.88888889
291.0416667,15.83333333
291.0833333,15.77777778
291.125,15.72222222
291.1666667,15.61111111
291.2083333,15.55555556
291.25,15.33333333
291.2916667,15.16666667
291.3333333,15.05555556
291.375,15
291.4166667,15
291.4583333,15.22222222
291.5,15.77777778
291.5416667,15.83333333
291.5833333,16.38888889
291.625,16.38888889
291.6666667,16.77777778
291.7083333,16.61111111
291.75,16.94444444
291.7916667,16.5
291.8333333,16.38888889
291.875,16.27777778
291.9166667,16.16666667
291.9583333,16.05555556
292,16
292.0416667,15.94444444
292.0833333,15.88888889
292.125,15.88888889
292.1666667,15.77777778
292.2083333,15.66666667
292.25,15.5
292.2916667,15.38888889
292.3333333,15.38888889
292.375,15.33333333
292.4166667,15.38888889
292.4583333,15.44444444
292.5,15.94444444
292.5416667,15.88888889
292.5833333,16.05555556
292.625,16.22222222
292.6666667,16.33333333
292.7083333,16.33333333
292.75,16.27777778
292.7916667,16.16666667
292.8333333,16
292.875,15.83333333
292.9166667,15.72222222
292.9583333,15.94444444
293,15.66666667
293.0416667,15.72222222
293.0833333,15.61111111
293.125,15.5
293.1666667,15.27777778
293.2083333,15.22222222
293.25,15
293.2916667,14.94444444
293.3333333,14.66666667
293.375,14.55555556
293.4166667,14.44444444
293.4583333,14.38888889
293.5,14.44444444
293.5416667,14.55555556
293.5833333,14.66666667
293.625,14.77777778
293.6666667,14.88888889
293.7083333,14.88888889
293.75,14.88888889
293.7916667,14.83333333
293.8333333,14.72222222
293.875,14.66666667
293.9166667,14.61111111
293.9583333,14.5
294,14.44444444
294.0416667,14.38888889
294.0833333,14.27777778
294.125,14.16666667
294.1666667,14
294.2083333,14.11111111
294.25,14.22222222
294.2916667,14.11111111
294.3333333,13.88888889
294.375,13.94444444
294.4166667,13.72222222
294.4583333,14
294.5,13.94444444
294.5416667,14.27777778
294.5833333,14.38888889
294.625,14.55555556
294.6666667,14.72222222
294.7083333,14.72222222
294.75,14.66666667
294.7916667,14.61111111
294.8333333,14.55555556
294.875,14.5
294.9166667,14.44444444
294.9583333,14.44444444
295,14.38888889
295.0416667,14.27777778
295.0833333,14.22222222
295.125,14.11111111
295.1666667,14
295.2083333,14.11111111
295.25,13.83333333
295.2916667,13.72222222
295.3333333,13.66666667
295.375,13.61111111
295.4166667,13.61111111
295.4583333,13.66666667
295.5,13.83333333
295.5416667,14.05555556
295.5833333,14.27777778
295.625,14.5
295.6666667,14.61111111
295.7083333,14.61111111
295.75,14.61111111
295.7916667,14.55555556
295.8333333,14.5
295.875,14.55555556
295.9166667,14.44444444
295.9583333,14.5
296,14.33333333
296.0416667,14.44444444
296.0833333,14.22222222
296.125,14.27777778
296.1666667,14.05555556
296.2083333,14
296.25,13.83333333
296.2916667,13.77777778
296.3333333,13.66666667
296.375,13.55555556
296.4166667,13.5
296.4583333,13.61111111
296.5,13.77777778
296.5416667,14
296.5833333,14.22222222
296.625,14.38888889
296.6666667,14.5
296.7083333,14.5
296.75,14.5
296.7916667,14.44444444
296.8333333,14.38888889
296.875,14.33333333
296.9166667,14.33333333
296.9583333,14.27777778
297,14.22222222
297.0416667,14.16666667
297.0833333,14.11111111
297.125,14
297.1666667,13.88888889
297.2083333,13.94444444
297.25,13.66666667
297.2916667,13.55555556
297.3333333,13.5
297.375,13.44444444
297.4166667,13.44444444
297.4583333,13.55555556
297.5,13.77777778
297.5416667,13.94444444
297.5833333,14.22222222
297.625,14.33333333
297.6666667,14.5
297.7083333,14.5
297.75,14.55555556
297.7916667,14.44444444
297.8333333,14.38888889
297.875,14.35185185
297.9166667,14.31481481
297.9583333,14.27777778
298,14.22222222
298.0416667,14.16666667
298.0833333,14.11111111
298.125,14.05555556
298.1666667,13.94444444
298.2083333,13.88888889
298.25,13.77777778
298.2916667,13.66666667
298.3333333,13.61111111
298.375,13.55555556
298.4166667,13.55555556
298.4583333,13.61111111
298.5,13.77777778
298.5416667,14
298.5833333,14.16666667
298.625,14.33333333
298.6666667,14.5
298.7083333,14.5
298.75,14.5
298.7916667,14.44444444
298.8333333,14.38888889
298.875,14.27777778
298.9166667,14.22222222
298.9583333,14.22222222
299,14.16666667
299.0416667,14.11111111
299.0833333,14.22222222
299.125,14
299.1666667,14.05555556
299.2083333,13.77777778
299.25,13.88888889
299.2916667,13.61111111
299.3333333,13.72222222
299.375,13.55555556
299.4166667,13.55555556
299.4583333,13.66666667
299.5,13.77777778
299.5416667,13.88888889
299.5833333,14.11111111
299.625,14.11111111
299.6666667,14.11111111
299.7083333,14.11111111
299.75,14.11111111
299.7916667,14.05555556
299.8333333,14
299.875,13.94444444
299.9166667,13.94444444
299.9583333,13.88888889
300,13.88888889
300.0416667,13.83333333
300.0833333,13.77777778
300.125,13.66666667
300.1666667,13.61111111
300.2083333,13.55555556
300.25,13.5
300.2916667,13.44444444
300.3333333,13.38888889
300.375,13.5
300.4166667,13.33333333
300.4583333,13.33333333
300.5,13.44444444
300.5416667,13.55555556
300.5833333,13.77777778
300.625,13.94444444
300.6666667,14
300.7083333,14
300.75,14.16666667
300.7916667,14
300.8333333,14.22222222
300.875,13.94444444
300.9166667,14.11111111
300.9583333,13.88888889
301,13.77777778
301.0416667,13.83333333
301.0833333,13.72222222
301.125,13.66666667
301.1666667,13.61111111
301.2083333,13.55555556
301.25,13.5
301.2916667,13.44444444
301.3333333,13.38888889
301.375,13.38888889
301.4166667,13.33333333
301.4583333,13.44444444
301.5,13.61111111
301.5416667,14.11111111
301.5833333,14.11111111
301.625,14.27777778
301.6666667,14.38888889
301.7083333,14.44444444
301.75,14.38888889
301.7916667,14.38888889
301.8333333,14.33333333
301.875,14.22222222
301.9166667,14.16666667
301.9583333,14.16666667
302,14.16666667
302.0416667,14.16666667
302.0833333,14.16666667
302.125,14.11111111
302.1666667,14.05555556
302.2083333,13.94444444
302.25,13.83333333
302.2916667,13.77777778
302.3333333,14
302.375,13.77777778
302.4166667,14.05555556
302.4583333,13.88888889
302.5,14.33333333
302.5416667,14.22222222
302.5833333,14.55555556
302.625,14.66666667
302.6666667,14.72222222
302.7083333,14.77777778
302.75,14.66666667
302.7916667,14.61111111
302.8333333,14.5
302.875,14.44444444
302.9166667,14.33333333
302.9583333,14.22222222
303,14.22222222
303.0416667,14.16666667
303.0833333,14.11111111
303.125,14
303.1666667,13.94444444
303.2083333,13.77777778
303.25,13.66666667
303.2916667,13.55555556
303.3333333,13.5
303.375,13.5
303.4166667,13.61111111
303.4583333,13.88888889
303.5,14.05555556
303.5416667,14.33333333
303.5833333,14.5
303.625,14.61111111
303.6666667,14.66666667
303.7083333,14.61111111
303.75,14.55555556
303.7916667,14.44444444
303.8333333,14.33333333
303.875,14.16666667
303.9166667,14.16666667
303.9583333,14
304,14.11111111
304.0416667,13.94444444
304.0833333,14.05555556
304.125,13.77777778
304.1666667,13.88888889
304.2083333,13.44444444
304.25,13.27777778
304.2916667,13.11111111
304.3333333,13.27777778
304.375,13.05555556
304.4166667,13.16666667
304.4583333,13.44444444
304.5,13.72222222
304.5416667,14
304.5833333,14.22222222
304.625,14.33333333
304.6666667,14.38888889
304.7083333,14.33333333
304.75,14.27777778
304.7916667,14.16666667
304.8333333,14.05555556
304.875,13.94444444
304.9166667,13.88888889
304.9583333,13.77777778
305,13.77777778
305.0416667,13.77777778
305.0833333,13.72222222
305.125,13.61111111
305.1666667,13.5
305.2083333,13.38888889
305.25,13.5
305.2916667,13.16666667
305.3333333,13.11111111
305.375,13.16666667
305.4166667,13.61111111
305.4583333,13.61111111
305.5,13.83333333
305.5416667,14.16666667
305.5833333,14.33333333
305.625,14.61111111
305.6666667,14.5
305.7083333,14.44444444
305.75,14.33333333
305.7916667,14.27777778
305.8333333,14.22222222
305.875,14.11111111
305.9166667,14.38888889
305.9583333,14.11111111
306,14.11111111
306.0416667,14.11111111
306.0833333,14.11111111
306.125,14.05555556
306.1666667,14
306.2083333,13.94444444
306.25,13.83333333
306.2916667,13.83333333
306.3333333,13.83333333
306.375,13.88888889
306.4166667,14
306.4583333,14.11111111
306.5,14.27777778
306.5416667,14.27777778
306.5833333,14.33333333
306.625,14.38888889
306.6666667,14.33333333
306.7083333,14.22222222
306.75,14.16666667
306.7916667,14.44444444
306.8333333,14
306.875,14.11111111
306.9166667,13.83333333
306.9583333,13.72222222
307,13.66666667
307.0416667,13.5
307.0833333,13.5
307.125,13.27777778
307.1666667,13.22222222
307.2083333,13.11111111
307.25,13
307.2916667,12.88888889
307.3333333,12.83333333
307.375,12.88888889
307.4166667,13
307.4583333,13.22222222
307.5,13.5
307.5416667,13.72222222
307.5833333,13.88888889
307.625,14
307.6666667,14.05555556
307.7083333,14
307.75,14
307.7916667,13.94444444
307.8333333,13.88888889
307.875,13.66666667
307.9166667,13.61111111
307.9583333,13.66666667
308,13.77777778
308.0416667,13.77777778
308.0833333,13.77777778
308.125,13.66666667
308.1666667,13.61111111
308.2083333,13.44444444
308.25,13.33333333
308.2916667,13.66666667
308.3333333,13.44444444
308.375,13.61111111
308.4166667,13.55555556
308.4583333,13.61111111
308.5,13.83333333
308.5416667,13.94444444
308.5833333,14.27777778
308.625,14.22222222
308.6666667,14.22222222
308.7083333,14.16666667
308.75,14.11111111
308.7916667,14
308.8333333,14
308.875,13.94444444
308.9166667,13.77777778
308.9583333,13.61111111
309,13.55555556
309.0416667,13.5
309.0833333,13.38888889
309.125,13.33333333
309.1666667,13.22222222
309.2083333,13.05555556
309.25,12.88888889
309.2916667,12.83333333
309.3333333,12.66666667
309.375,12.66666667
309.4166667,12.88888889
309.4583333,13.22222222
309.5,13.44444444
309.5416667,13.61111111
309.5833333,13.72222222
309.625,13.83333333
309.6666667,13.83333333
309.7083333,13.83333333
309.75,13.72222222
309.7916667,13.66666667
