$Tulloch Br1 inflow year 2005 YC 04/11/2023,
",,,",
Jday,Inflow
114.3333333,0.396432111
114.375,0.396432111
114.4166667,0.396432111
114.4583333,0.396432111
114.5,0.396432111
114.5416667,0.396432111
114.5833333,3.001557412
114.625,46.7789891
114.6666667,50.3468781
114.7083333,105.1394592
114.75,118.8730001
114.7916667,118.9579499
114.8333333,118.7031007
114.875,116.0979754
114.9166667,45.30652697
114.9583333,0.396432111
115,0.396432111
115.0416667,0.396432111
115.0833333,0.396432111
115.125,0.396432111
115.1666667,0.396432111
115.2083333,0.396432111
115.25,0.396432111
115.2916667,0.396432111
115.3333333,0.396432111
115.375,0.396432111
115.4166667,0.396432111
115.4583333,2.435225825
115.5,41.48378876
115.5416667,42.70140167
115.5833333,42.87130115
115.625,46.4958233
115.6666667,47.34532069
115.7083333,102.0246354
115.75,99.81594223
115.7916667,48.47798386
115.8333333,53.34843551
115.875,108.2825995
115.9166667,107.6879513
115.9583333,104.0351126
116,7.164094577
116.0416667,0.396432111
116.0833333,0.396432111
116.125,0.396432111
116.1666667,0.396432111
116.2083333,0.396432111
116.25,0.396432111
116.2916667,0.396432111
116.3333333,0.396432111
116.375,0.396432111
116.4166667,0.001
116.4583333,5.804898768
116.5,106.8101373
116.5416667,110.604559
116.5833333,110.5196092
116.625,109.528529
116.6666667,110.4346595
116.7083333,111.2841569
116.75,111.878805
116.7916667,111.6522724
116.8333333,111.8504885
116.875,9.457737505
116.9166667,0.396432111
116.9583333,0.396432111
117,0.396432111
117.0416667,0.396432111
117.0833333,0.396432111
117.125,0.396432111
117.1666667,0.396432111
117.2083333,0.396432111
117.25,0.396432111
117.2916667,0.396432111
117.3333333,0.396432111
117.375,0.396432111
117.4166667,8.070225117
117.4583333,43.69248195
117.5,46.21265751
117.5416667,46.75067252
117.5833333,47.09047147
117.625,47.40195384
117.6666667,49.5256973
117.7083333,100.5521733
117.75,102.8458162
117.7916667,102.2511681
117.8333333,102.5343339
117.875,102.3644344
117.9166667,102.0812686
117.9583333,99.22129407
118,10.39218462
118.0416667,1.812261079
118.0833333,1.812261079
118.125,1.812261079
118.1666667,1.812261079
118.2083333,1.812261079
118.25,1.812261079
118.2916667,2.520175563
118.3333333,1.104346595
118.375,1.925527396
118.4166667,0.906130539
118.4583333,7.617159847
118.5,89.59365709
118.5416667,93.67124451
118.5833333,93.67124451
118.625,93.5579782
118.6666667,94.12430978
118.7083333,94.01104347
118.75,94.12430978
118.7916667,94.03936005
118.8333333,94.06767662
118.875,91.20770211
118.9166667,9.061305394
118.9583333,0.792864222
119,4.105904007
119.0416667,44.68356223
119.0833333,47.11878805
119.125,47.09047147
119.1666667,47.09047147
119.2083333,47.09047147
119.25,48.84609939
119.2916667,93.44471188
119.3333333,95.82330454
119.375,95.8799377
119.4166667,95.76667139
119.4583333,94.32252584
119.5,51.67775733
119.5416667,49.07263203
119.5833333,49.07263203
119.625,48.76114965
119.6666667,49.29916466
119.7083333,92.70848082
119.75,95.54013875
119.7916667,95.51182217
119.8333333,95.85162112
119.875,95.62508849
119.9166667,93.92609373
119.9583333,51.87597338
120,49.07263203
120.0416667,48.61956676
120.0833333,48.47798386
120.125,48.47798386
120.1666667,48.84609939
120.2083333,48.61956676
120.25,50.51677757
120.2916667,93.67124451
120.3333333,96.07815376
120.375,95.99320402
120.4166667,95.79498797
120.4583333,95.82330454
120.5,94.18094294
120.5416667,51.62112417
120.5833333,48.05323517
120.625,48.2797678
120.6666667,49.83717967
120.7083333,92.68016424
120.75,95.65340507
120.7916667,95.37023928
120.8333333,95.37023928
120.875,95.73835481
120.9166667,93.78451083
120.9583333,51.87597338
121,49.04431545
121.0416667,48.2797678
121.0833333,48.47798386
121.125,48.47798386
121.1666667,48.16650149
121.2083333,48.50630044
121.25,48.47798386
121.2916667,48.16650149
121.3333333,48.39303412
121.375,48.10986833
121.4166667,50.00707914
121.4583333,93.01996319
121.5,94.83222427
121.5416667,93.38807872
121.5833333,47.82670253
121.625,44.71187881
121.6666667,46.66572278
121.7083333,95.99320402
121.75,99.36287696
121.7916667,99.90089197
121.8333333,99.92920855
121.875,100.9486054
121.9166667,120.8834773
121.9583333,123.2337534
122,119.1278494
122.0416667,9.939119354
122.0833333,0.736231063
122.125,0.707914484
122.1666667,0.736231063
122.2083333,0.736231063
122.25,8.948039077
122.2916667,117.0890556
122.3333333,123.460286
122.375,123.0921705
122.4166667,122.6674218
122.4583333,123.3753363
122.5,122.8656378
122.5416667,122.582472
122.5833333,123.120487
122.625,123.3470197
122.6666667,122.4125726
122.7083333,122.6957384
122.75,122.7806881
122.7916667,122.9789041
122.8333333,122.4975223
122.875,123.0355373
122.9166667,122.3559394
122.9583333,123.7151352
123,123.7151352
123.0416667,124.7628486
123.0833333,123.998301
123.125,123.9699844
123.1666667,124.0266176
123.2083333,123.9416678
123.25,118.0801359
123.2916667,1.500778706
123.3333333,0.906130539
123.375,0.906130539
123.4166667,0.906130539
123.4583333,0.906130539
123.5,37.94421634
123.5416667,51.81934022
123.5833333,51.96092312
123.625,51.96092312
123.6666667,51.96092312
123.7083333,52.10250602
123.75,51.81934022
123.7916667,52.10250602
123.8333333,51.81934022
123.875,51.96092312
123.9166667,51.96092312
123.9583333,51.96092312
124,51.96092312
124.0416667,51.96092312
124.0833333,52.10250602
124.125,51.81934022
124.1666667,51.96092312
124.2083333,51.96092312
124.25,51.96092312
124.2916667,51.96092312
124.3333333,51.96092312
124.375,58.44541979
124.4166667,66.14752938
124.4583333,66.14752938
124.5,66.14752938
124.5416667,66.14752938
124.5833333,71.44272972
124.625,78.15375903
124.6666667,184.1427156
124.7083333,129.5483506
124.75,124.9327481
124.7916667,125.1875973
124.8333333,125.1875973
124.875,124.9610647
124.9166667,124.7911652
124.9583333,124.9327481
125,124.5646326
125.0416667,108.3392326
125.0833333,107.4331021
125.125,107.3198358
125.1666667,107.5463684
125.2083333,107.5180518
125.25,106.3570721
125.2916667,95.14370664
125.3333333,94.46410874
125.375,94.69064137
125.4166667,110.802775
125.4583333,111.6239558
125.5,111.5673227
125.5416667,112.4734532
125.5833333,113.0114682
125.625,112.8132522
125.6666667,112.6433527
125.7083333,112.8698853
125.75,112.6999858
125.7916667,112.6999858
125.8333333,112.8698853
125.875,112.756619
125.9166667,112.5300864
125.9583333,109.18873
126,10.13733541
126.0416667,0.764547643
126.0833333,0.764547643
126.125,0.764547643
126.1666667,0.764547643
126.2083333,0.764547643
126.25,8.013591958
126.2916667,93.75619425
126.3333333,98.40011327
126.375,98.45674643
126.4166667,97.1258672
126.4583333,96.75775166
126.5,96.58785219
126.5416667,96.61616877
126.5833333,96.47458587
126.625,96.58785219
126.6666667,94.71895795
126.7083333,96.36131955
126.75,96.38963613
126.7916667,96.36131955
126.8333333,96.61616877
126.875,96.67280193
126.9166667,93.64292793
126.9583333,16.42361603
127,0.594648167
127.0416667,0.594648167
127.0833333,0.594648167
127.125,0.594648167
127.1666667,0.594648167
127.2083333,0.594648167
127.25,0.594648167
127.2916667,0.594648167
127.3333333,8.240124593
127.375,89.11227524
127.4166667,93.35976214
127.4583333,110.6328755
127.5,111.3124735
127.5416667,111.2841569
127.5833333,112.2469206
127.625,112.218604
127.6666667,112.1619708
127.7083333,112.3601869
127.75,112.5584029
127.7916667,112.3318703
127.8333333,112.4451366
127.875,112.3318703
127.9166667,112.0203879
127.9583333,111.8504885
128,101.6282033
128.0416667,8.466657228
128.0833333,0.764547643
128.125,0.764547643
128.1666667,0.764547643
128.2083333,0.764547643
128.25,0.764547643
128.2916667,0.764547643
128.3333333,0.764547643
128.375,0.764547643
128.4166667,7.956958799
128.4583333,89.31049129
128.5,93.16154609
128.5416667,93.33144556
128.5833333,93.16154609
128.625,93.38807872
128.6666667,93.35976214
128.7083333,93.33144556
128.75,93.18986266
128.7916667,93.10491293
128.8333333,93.58629478
128.875,94.66232479
128.9166667,94.2375761
128.9583333,91.40591817
129,7.107461419
129.0416667,0.736231063
129.0833333,0.736231063
129.125,0.736231063
129.1666667,0.736231063
129.2083333,0.736231063
129.25,6.286280617
129.2916667,47.99660201
129.3333333,90.35820473
129.375,92.76511397
129.4166667,104.006796
129.4583333,113.7193827
129.5,114.0591817
129.5416667,111.8504885
129.5833333,51.93260654
129.625,48.16650149
129.6666667,48.25145122
129.7083333,48.2797678
129.75,48.2797678
129.7916667,48.25145122
129.8333333,48.67619992
129.875,48.44966728
129.9166667,48.13818491
129.9583333,47.51522016
130,6.1730143
130.0416667,31.45971967
130.0833333,47.85501911
130.125,47.79838595
130.1666667,48.13818491
130.2083333,48.25145122
130.25,48.67619992
130.2916667,49.07263203
130.3333333,47.65680306
130.375,14.271556
130.4166667,14.86620416
130.4583333,95.76667139
130.5,99.53277644
130.5416667,100.099108
130.5833333,99.90089197
130.625,98.23021379
130.6666667,53.09358629
130.7083333,50.23361178
130.75,50.23361178
130.7916667,50.46014441
130.8333333,50.63004389
130.875,50.3468781
130.9166667,49.01599887
130.9583333,6.059747982
131,0.991080278
131.0416667,0.991080278
131.0833333,0.991080278
131.125,0.991080278
131.1666667,0.991080278
131.2083333,0.991080278
131.25,0.991080278
131.2916667,0.991080278
131.3333333,8.126858276
131.375,103.2988815
131.4166667,107.6030016
131.4583333,107.6879513
131.5,107.8295342
131.5416667,107.8861674
131.5833333,107.3481523
131.625,107.4331021
131.6666667,108.3675492
131.7083333,107.6030016
131.75,108.9621974
131.7916667,108.848931
131.8333333,105.5358913
131.875,9.995752513
131.9166667,0.849497381
131.9583333,0.849497381
132,0.849497381
132.0416667,0.849497381
132.0833333,0.849497381
132.125,0.849497381
132.1666667,0.849497381
132.2083333,0.849497381
132.25,0.849497381
132.2916667,8.438340648
132.3333333,102.9024494
132.375,106.9517202
132.4166667,107.1782529
132.4583333,107.0933031
132.5,108.1410166
132.5416667,108.3958658
132.5833333,108.310916
132.625,108.1693331
132.6666667,108.3675492
132.7083333,107.772901
132.75,108.0277502
132.7916667,107.9994337
132.8333333,105.0545094
132.875,9.287838029
132.9166667,1.076030016
132.9583333,1.076030016
133,1.076030016
133.0416667,1.076030016
133.0833333,1.076030016
133.125,1.076030016
133.1666667,1.076030016
133.2083333,1.076030016
133.25,1.076030016
133.2916667,1.076030016
133.3333333,8.551606966
133.375,105.3093586
133.4166667,110.3497098
133.4583333,110.2081269
133.5,110.1798103
133.5416667,109.6417953
133.5833333,95.14370664
133.625,93.78451083
133.6666667,91.40591817
133.7083333,52.41398839
133.75,49.29916466
133.7916667,49.35579782
133.8333333,51.76270706
133.875,108.8772476
133.9166667,111.1142574
133.9583333,94.32252584
134,90.61305394
134.0416667,8.80645618
134.0833333,1.245929492
134.125,1.245929492
134.1666667,1.245929492
134.2083333,1.245929492
134.25,6.541129832
134.2916667,47.23205437
134.3333333,48.53461702
134.375,48.4213507
134.4166667,50.71499363
134.4583333,90.64137052
134.5,92.34036528
134.5416667,92.65184766
134.5833333,92.3120487
134.625,92.56689792
134.6666667,92.42531502
134.7083333,92.51026476
134.75,92.28373213
134.7916667,92.19878239
134.8333333,92.73679739
134.875,93.35976214
134.9166667,93.2748124
134.9583333,93.58629478
135,90.49978763
135.0416667,8.834772759
135.0833333,0.991080278
135.125,0.991080278
135.1666667,0.991080278
135.2083333,0.991080278
135.25,8.296757752
135.2916667,90.6696871
135.3333333,94.54905847
135.375,94.52074189
135.4166667,94.54905847
135.4583333,95.45518901
135.5,95.54013875
135.5416667,95.42687243
135.5833333,95.11539006
135.625,95.3419227
135.6666667,95.37023928
135.7083333,95.85162112
135.75,95.59677191
135.7916667,95.31360612
135.8333333,95.51182217
135.875,95.37023928
135.9166667,92.39699844
135.9583333,8.098541696
136,0.87781396
136.0416667,0.87781396
136.0833333,0.87781396
136.125,0.87781396
136.1666667,0.87781396
136.2083333,0.87781396
136.25,8.041908537
136.2916667,91.00948605
136.3333333,95.2003398
136.375,95.31360612
136.4166667,94.97380716
136.4583333,94.74727453
136.5,94.49242532
136.5416667,94.43579216
136.5833333,94.03936005
136.625,94.20925952
136.6666667,95.00212374
136.7083333,95.59677191
136.75,95.56845533
136.7916667,95.51182217
136.8333333,95.99320402
136.875,95.79498797
136.9166667,92.79343055
136.9583333,7.192411157
137,0.792864222
137.0416667,0.792864222
137.0833333,0.792864222
137.125,0.792864222
137.1666667,0.792864222
137.2083333,0.792864222
137.25,0.792864222
137.2916667,8.013591958
137.3333333,89.1689084
137.375,92.48194818
137.4166667,93.07659635
