$Br1 inflow Tw year 2005 YC 03/22/2023,
",,,",
Jday,Tw
135.2916667,11.2898901
135.3333333,11.21969539
135.375,11.03884652
135.4166667,11.14950068
135.4583333,11.10270421
135.5,11.0325095
135.5416667,10.96231479
135.5833333,10.96231479
135.625,10.96231479
135.6666667,10.82192537
135.7083333,10.82192537
135.75,10.7751289
135.7916667,10.7751289
135.8333333,11.03884652
135.875,10.82192537
135.9166667,10.82192537
135.9583333,10.82192537
136,13.82465138
136.0416667,13.82465138
136.0833333,13.85052749
136.125,13.85052749
136.1666667,13.85052749
136.2083333,13.85052749
136.25,13.85052749
136.2916667,13.85052749
136.3333333,13.85052749
136.375,13.66454293
136.4166667,13.80740063
136.4583333,13.7297723
136.5,13.66076933
136.5416667,13.63489322
136.5833333,13.56589025
136.625,13.51413803
136.6666667,13.48826191
136.7083333,13.47101117
136.75,13.44513506
136.7916667,13.44513506
136.8333333,13.44513506
136.875,13.41925895
136.9166667,13.44513506
136.9583333,13.44513506
137,11.75607503
137.0416667,11.75607503
137.0833333,11.7411268
137.125,11.75607503
137.1666667,11.75607503
137.2083333,11.75607503
137.25,11.75607503
137.2916667,11.75607503
137.3333333,11.75607503
137.375,11.75607503
137.4166667,11.75607503
137.4583333,11.75607503
137.5,11.75607503
137.5416667,11.7411268
137.5833333,11.70824068
137.625,11.70824068
137.6666667,11.70824068
137.7083333,11.70824068
137.75,11.70824068
137.7916667,11.70824068
137.8333333,11.70824068
137.875,11.75607503
137.9166667,11.75607503
137.9583333,11.75607503
138,11.56567507
138.0416667,11.56567507
138.0833333,11.72596035
138.125,11.6445039
138.1666667,11.69180119
138.2083333,11.69180119
138.25,11.73909849
138.2916667,11.73909849
138.3333333,11.73909849
138.375,11.73909849
138.4166667,11.78639578
138.4583333,11.78639578
138.5,11.73909849
138.5416667,11.72596035
138.5833333,11.78639578
138.625,11.78639578
138.6666667,11.78639578
138.7083333,11.73909849
138.75,11.78639578
138.7916667,11.73909849
138.8333333,11.73909849
138.875,11.78639578
138.9166667,11.73909849
138.9583333,11.73909849
139,11.93359873
139.0416667,11.93359873
139.0833333,11.94570032
139.125,11.93359873
139.1666667,11.93359873
139.2083333,11.93359873
139.25,11.93359873
139.2916667,11.93359873
139.3333333,11.93359873
139.375,11.93359873
139.4166667,11.93359873
139.4583333,11.93359873
139.5,11.93359873
139.5416667,11.94570032
139.5833333,11.98069679
139.625,11.93359873
139.6666667,11.93359873
139.7083333,11.93359873
139.75,11.93359873
139.7916667,11.93359873
139.8333333,11.93359873
139.875,11.98069679
139.9166667,11.98069679
139.9583333,12.05919356
140,12.59954331
140.0416667,12.59954331
140.0833333,12.59954331
140.125,12.59954331
140.1666667,12.6281512
140.2083333,12.67106305
140.25,12.67106305
140.2916667,12.7139749
140.3333333,12.7139749
140.375,12.67106305
140.4166667,12.67106305
140.4583333,12.6281512
140.5,12.6281512
140.5416667,12.59954331
140.5833333,12.59954331
140.625,12.55663146
140.6666667,12.55663146
140.7083333,12.51371961
140.75,12.51371961
140.7916667,12.59954331
140.8333333,12.51371961
140.875,12.51371961
140.9166667,12.55663146
140.9583333,12.55663146
141,13.30002874
141.0416667,13.33080883
141.0833333,13.35132889
141.125,13.35132889
141.1666667,13.38210899
141.2083333,13.35132889
141.25,13.29297497
141.2916667,13.35132889
141.3333333,13.35132889
141.375,13.35132889
141.4166667,13.35132889
141.4583333,13.33080883
141.5,13.30002874
141.5416667,13.26924864
141.5833333,13.23846855
141.625,13.21794849
141.6666667,13.18716839
141.7083333,13.18716839
141.75,13.18716839
141.7916667,13.29297497
141.8333333,13.21794849
141.875,13.23846855
141.9166667,13.30002874
141.9583333,13.33080883
142,13.16927805
142.0416667,13.19833532
142.0833333,13.19833532
142.125,13.22739258
142.1666667,13.25644985
142.2083333,13.28550712
142.25,13.24696588
142.2916667,13.28550712
142.3333333,13.28550712
142.375,13.28550712
142.4166667,13.28550712
142.4583333,13.30487863
142.5,13.28550712
142.5416667,13.28550712
142.5833333,13.22739258
142.625,13.22739258
142.6666667,13.19833532
142.7083333,13.19833532
142.75,13.19833532
142.7916667,13.24696588
142.8333333,13.22739258
142.875,13.22739258
142.9166667,13.28550712
142.9583333,13.28550712
143,13.05495424
143.0416667,13.05495424
143.0833333,13.05495424
143.125,13.05495424
143.1666667,13.05495424
143.2083333,13.10587241
143.25,13.07510935
143.2916667,13.16697422
143.3333333,13.16697422
143.375,13.19752513
143.4166667,13.16697422
143.4583333,13.13642332
143.5,13.10587241
143.5416667,13.07532151
143.5833333,13.05495424
143.625,13.02440333
143.6666667,12.99385243
143.7083333,12.96330152
143.75,12.99385243
143.7916667,13.07510935
143.8333333,13.02440333
143.875,13.02440333
143.9166667,13.07532151
143.9583333,13.10587241
144,13.17804579
144.0416667,13.17804579
144.0833333,13.17804579
144.125,13.17804579
144.1666667,13.24739671
144.2083333,13.28207217
144.25,13.31674764
144.2916667,13.33986461
144.3333333,13.33986461
144.375,13.33986461
144.4166667,13.31674764
144.4583333,13.28207217
144.5,13.23656063
144.5416667,13.21272125
144.5833333,13.17804579
144.625,13.15492881
144.6666667,13.15492881
144.7083333,13.12025335
144.75,13.15492881
144.7916667,13.15492881
144.8333333,13.17804579
144.875,13.28207217
144.9166667,13.31674764
144.9583333,13.23656063
145,13.50810031
145.0416667,13.5408573
145.0833333,13.5408573
145.125,13.57361429
145.1666667,13.59545228
145.2083333,13.62820928
145.25,13.62820928
145.2916667,13.62820928
145.3333333,13.59545228
145.375,13.57361429
145.4166667,13.5408573
145.4583333,13.47534332
145.5,13.48103029
145.5416667,13.42074833
145.5833333,13.38799134
145.625,13.35523435
145.6666667,13.35523435
145.7083333,13.32247736
145.75,13.35523435
145.7916667,13.35523435
145.8333333,13.38799134
145.875,13.42074833
145.9166667,13.45350532
145.9583333,13.48103029
146,13.86374351
146.0416667,13.83161858
146.0833333,13.86374351
146.125,13.86374351
146.1666667,13.91728506
146.2083333,13.94940999
146.25,13.98153492
146.2916667,14.00295153
146.3333333,13.98153492
146.375,13.94940999
146.4166667,13.91728506
146.4583333,13.88516013
146.5,13.857497
146.5416667,13.83161858
146.5833333,13.79949365
146.625,13.76736872
146.6666667,13.7352438
146.7083333,13.7352438
146.75,13.7352438
146.7916667,13.76736872
146.8333333,13.79949365
146.875,13.83161858
146.9166667,13.86374351
146.9583333,13.857497
147,13.92123809
147.0416667,13.92123809
147.0833333,13.92123809
147.125,13.95445255
147.1666667,14.00981
147.2083333,14.07623894
147.25,14.09838191
147.2916667,14.09838191
147.3333333,14.09838191
147.375,14.09838191
147.4166667,14.04302447
147.4583333,14.04302447
147.5,13.97567291
147.5416667,13.95445255
147.5833333,13.92123809
147.625,13.88802362
147.6666667,13.85480915
147.7083333,13.85480915
147.75,13.88802362
147.7916667,13.92123809
147.8333333,13.92123809
147.875,13.97659553
147.9166667,13.97659553
147.9583333,13.97659553
148,14.37104451
148.0416667,14.35115008
148.0833333,14.37104451
148.125,14.37104451
148.1666667,14.43072781
148.2083333,14.40254403
148.25,14.51030554
148.2916667,14.54014719
148.3333333,14.51030554
148.375,14.51030554
148.4166667,14.46056946
148.4583333,14.46056946
148.5,14.40088616
148.5416667,14.37104451
148.5833333,14.35115008
148.625,14.32130843
148.6666667,14.40254403
148.7083333,14.32130843
148.75,14.32130843
148.7916667,14.35115008
148.8333333,14.37104451
148.875,14.37104451
148.9166667,14.40088616
148.9583333,14.40088616
149,14.38094328
149.0416667,14.41345154
149.0833333,14.41345154
149.125,14.41345154
149.1666667,14.4459598
149.2083333,14.30305891
149.25,14.46763197
149.2916667,14.46763197
