$NML Br1 inflow Tw year 2005 gap filled with dly averaged filled Tw YC 02/02/2023,
",,,",
Jday,Tw (deg C)
23.208,5.27711041
23.250,5.182238615
23.292,5.168954122
23.333,5.155669629
23.375,5.054473048
23.417,5.054473048
23.458,5.042018835
23.500,5.054473048
23.542,4.959601253
23.583,4.972885746
23.625,4.986170239
23.667,5.081042034
23.708,5.093496247
23.750,5.10678074
23.792,5.119234952
23.833,5.132519446
23.875,5.233716027
23.917,5.246170239
23.958,5.328587822
24.000,5.383811881
24.042,5.46519802
24.083,5.46519802
24.125,5.46519802
24.167,5.452574257
24.208,5.357722772
24.250,5.344257426
24.292,5.344257426
24.333,5.331633663
24.375,5.242710396
24.417,5.22924505
24.458,5.22924505
24.500,5.22924505
24.542,5.147858911
24.583,5.160482673
24.625,5.17394802
24.667,5.268799505
24.708,5.281423267
24.750,5.294888614
24.792,5.396435644
24.833,5.409059406
24.875,5.422524752
24.917,5.517376238
24.958,5.517376238
25.000,5.737443364
25.042,5.737443364
25.083,5.737443364
25.125,5.748943364
25.167,5.748943364
25.208,5.748943364
25.250,5.748943364
25.292,5.748943364
25.333,5.748943364
25.375,5.748943364
25.417,5.748943364
25.458,5.748943364
25.500,5.760443364
25.542,5.760443364
25.583,5.772710031
25.625,5.772710031
25.667,5.772710031
25.708,5.871376698
25.750,5.871376698
25.792,5.871376698
25.833,5.952376698
25.875,5.952376698
25.917,5.952376698
25.958,5.952376698
26.000,5.825451472
26.042,5.816795943
26.083,5.816795943
26.125,5.816795943
26.167,5.816795943
26.208,5.808140414
26.250,5.808140414
26.292,5.808140414
26.333,5.800025855
26.375,5.800025855
26.417,5.800025855
26.458,5.733438743
26.500,5.733438743
26.542,5.733438743
26.583,5.733438743
26.625,5.733438743
26.667,5.733438743
26.708,5.724783214
26.750,5.724783214
26.792,5.716668656
26.833,5.775141209
26.875,5.767026651
26.917,5.767026651
26.958,5.767026651
27.000,5.72632166
27.042,5.718029581
27.083,5.709184696
27.125,5.63501803
27.167,5.626173145
27.208,5.555570835
27.250,5.547278756
27.292,5.547278756
27.333,5.538433871
27.375,5.472559284
27.417,5.464267204
27.458,5.402509779
27.500,5.410801858
27.542,5.419646742
27.583,5.427938822
27.625,5.436783706
27.667,5.445628591
27.708,5.52452298
27.750,5.532815059
27.792,5.532815059
27.833,5.598689647
27.875,5.598689647
27.917,5.598689647
27.958,5.598689647
28.000,5.718007948
28.042,5.718007948
28.083,5.718007948
28.125,5.718007948
28.167,5.707462302
28.208,5.62923565
28.250,5.62923565
28.292,5.62923565
28.333,5.62923565
28.375,5.534545198
28.417,5.534545198
28.458,5.534545198
28.500,5.534545198
28.542,5.545793887
28.583,5.545793887
28.625,5.467567234
28.667,5.467567234
28.708,5.456318546
28.750,5.4457729
28.792,5.362331138
28.833,5.351082449
28.875,5.261607108
28.917,5.261607108
28.958,5.251061463
