$Green Spring met year 2006 YC 04/11/2023,,,,,,
",,,",,,,,,
Jday,Tair(degC),Dew point(degC),WindSpeed(cms),WindDir(rad),CloudCover,Solar
13.91666667,11.11111111,4.34,2.2352,2.3911021,0,0
13.95833333,12.22222222,2.93,1.34112,1.8849564,0,0
14,11.11111111,5.22,2.68224,2.1991158,0,0
14.04166667,10.55555556,6.89,1.34112,2.7401681,0,0
14.08333333,11.11111111,7.24,3.12928,2.443462,0,0
14.125,11.66666667,6.18,2.2352,1.9722229,0,0
14.16666667,8.888888889,7.66,5.81152,2.967061,0,0
14.20833333,7.777777778,7.63,3.12928,2.967061,0,0
14.25,7.777777778,7.63,2.2352,1.7278767,0,0
14.29166667,8.333333333,6.63,4.91744,1.4311706,0,4.9912049
14.33333333,8.888888889,6.16,2.68224,1.5009838,0,42.42524165
14.375,8.333333333,6.95,2.68224,1.7802366,0,102.8188209
14.41666667,10,7.77,1.78816,1.8151432,0,294.9802096
14.45833333,9.444444444,8.52,8.04672,2.3736488,0,341.8975357
14.5,10.55555556,7.97,7.15264,2.4085554,0,165.2088822
14.54166667,10.55555556,8.32,8.04672,2.4958219,0,154.7273519
14.58333333,8.333333333,8.18,6.25856,2.3911021,0,123.7818815
14.625,6.666666667,6.52,4.02336,3.0194209,0,104.3161824
14.66666667,7.222222222,7.07,2.2352,4.2411519,0,9.48328931
14.70833333,7.222222222,7.07,0.44704,4.537858,0,0.49912049
14.75,7.222222222,7.07,0,1.9024097,0,0
14.79166667,7.222222222,7.07,1.34112,2.6005417,0,0
14.83333333,7.222222222,6.47,1.34112,2.1467559,0,0
14.875,7.222222222,6.47,1.34112,3.3510336,0,0
14.91666667,7.222222222,6.17,1.78816,3.5430199,0,0
14.95833333,7.222222222,6.17,2.68224,3.8920859,0,0
15,7.222222222,5.69,2.68224,3.7524595,0,0
15.04166667,6.666666667,4.83,1.78816,3.7350062,0,0
15.08333333,6.111111111,4.11,1.78816,3.7175529,0,0
15.125,5.555555556,3.73,1.78816,4.3109651,0,0
15.16666667,4.444444444,3.1,1.78816,4.5727646,0,0
15.20833333,3.333333333,3.04,0.89408,4.7647509,0,0
15.25,2.222222222,2.08,0,6.0388418,0,0
15.29166667,2.222222222,2.08,0,1.3788107,0,36.43579577
15.33333333,3.888888889,3.75,0,5.934122,0,204.6394009
15.375,6.666666667,4.99,0.44704,5.759589,0,338.4036922
15.41666667,9.444444444,4.65,1.34112,5.5152428,0,454.6987664
15.45833333,10,4.16,2.68224,5.4454296,0,501.2998738
15.5,10.55555556,3.82,3.12928,5.1836301,0,501.3965902
15.54166667,11.11111111,2.68,4.02336,4.8520174,0,501.4934279
15.58333333,11.66666667,-0.47,5.36448,5.0090971,0,412.2735247
15.625,11.11111111,-0.06,5.36448,4.9741905,0,268.0277031
15.66666667,10,-1.37,4.02336,5.1312702,0,95.83113408
15.70833333,7.777777778,-0.43,4.91744,5.1487235,0,2.49560245
15.75,6.111111111,0.04,2.68224,5.23599,0,0
15.79166667,6.111111111,-0.83,2.68224,5.7246824,0,0
15.83333333,5.555555556,0.33,2.2352,6.1261083,0,0
15.875,4.444444444,0.77,1.78816,5.8643088,0,0
15.91666667,3.888888889,0.59,0.89408,5.7421357,0,0
15.95833333,3.888888889,0.41,1.78816,5.8643088,0,0
16,3.333333333,-0.13,1.34112,6.0912017,0,0
16.04166667,2.777777778,-0.32,0.44704,1.047198,0,0
16.08333333,4.444444444,-4.04,0.44704,5.934122,0,0
16.125,3.333333333,-1.22,1.78816,0.349066,0,0
16.16666667,4.444444444,-3.55,0,2.1293026,0,0
16.20833333,2.777777778,-2.52,0.44704,2.617995,0,0
16.25,2.777777778,-1.02,0.44704,1.7627833,0,0
16.29166667,1.666666667,-2.45,0,1.9373163,0,25.95426548
16.33333333,4.444444444,-0.94,0,1.5882503,0,165.7080027
16.375,8.333333333,-1.2,0,1.3788107,0,316.4423907
16.41666667,10,0.34,0.89408,1.2740909,0,441.7216337
16.45833333,11.66666667,1.89,0.89408,1.4835305,0,477.1591884
16.5,12.22222222,1.55,1.78816,3.2812204,0,306.9591014
16.54166667,9.444444444,2.54,0.89408,1.9722229,0,238.5795942
16.58333333,8.888888889,2.24,2.68224,3.5953798,0,403.7884764
16.625,10.55555556,2.16,1.34112,3.8571793,0,225.103341
16.66666667,10,1.64,0.89408,4.2236986,0,80.35839889
16.70833333,8.333333333,1.49,0.89408,3.8920859,0,0.99824098
16.75,7.222222222,2.32,0.89408,3.3859402,0,0
16.79166667,5.555555556,2.04,0,1.8849564,0,0
16.83333333,4.444444444,2.63,0,1.4311706,0,0
16.875,3.888888889,1.77,0.89408,1.396264,0,0
16.91666667,3.333333333,2,0,1.6231569,0,0
16.95833333,4.444444444,2.47,0.44704,1.4137173,0,0
17,4.444444444,2.31,0.89408,1.1868244,0,0
17.04166667,3.888888889,1.6,0.44704,1.4137173,0,0
17.08333333,3.888888889,1.77,0.89408,1.2915442,0,0
17.125,3.888888889,1.77,0.44704,1.4486239,0,0
17.16666667,3.888888889,1.93,0.44704,1.3264508,0,0
17.20833333,3.333333333,1.69,0.89408,1.4660772,0,0
17.25,3.333333333,2.16,0.44704,1.5184371,0,0
17.29166667,3.333333333,2,0.44704,1.570797,0,17.46921715
17.33333333,4.444444444,2.14,0,1.4311706,0,140.2528577
17.375,7.222222222,3.28,0,2.1118493,0,290.4881252
17.41666667,10.55555556,3.37,1.34112,1.4660772,0,376.83597
17.45833333,12.22222222,4.45,1.34112,1.9722229,0,426.748019
17.5,12.77777778,4.23,2.68224,2.4609153,0,498.6213695
17.54166667,13.33333333,4.75,2.68224,2.8448879,0,388.8148617
17.58333333,12.77777778,4.23,2.68224,2.617995,0,293.9819686
17.625,12.22222222,4.69,3.57632,2.7401681,0,159.2194363
17.66666667,11.11111111,5.22,2.68224,3.1939539,0,53.90501292
17.70833333,10,5.39,2.68224,2.5656351,0,1.49736147
17.75,9.444444444,5.8,1.78816,1.9896762,0,0
17.79166667,8.888888889,6.16,0.44704,2.0245828,0,0
17.83333333,8.888888889,5.27,1.34112,1.9896762,0,0
17.875,8.333333333,4.54,1.78816,2.7401681,0,0
17.91666667,7.777777778,4.19,3.57632,2.6529016,0,0
17.95833333,6.666666667,5.93,3.12928,2.1293026,0,0
18,6.666666667,6.38,1.34112,1.7802366,0,0
18.04166667,6.666666667,6.23,2.2352,1.7627833,0,0
18.08333333,7.222222222,7.07,2.68224,1.7104234,0,0
18.125,7.222222222,7.07,5.36448,2.1642092,0,0
18.16666667,6.666666667,6.52,3.57632,2.3038356,0,0
18.20833333,6.111111111,5.96,1.78816,4.2411519,0,0
18.25,6.111111111,5.96,2.2352,2.967061,0,0
18.29166667,6.111111111,5.96,0.44704,1.9373163,0,11.97889176
18.33333333,6.666666667,6.52,2.68224,2.3736488,0,43.92260312
18.375,7.777777778,7.63,1.78816,1.8500498,0,54.40413341
18.41666667,8.333333333,8.03,3.12928,2.4085554,0,245.5672811
18.45833333,7.777777778,7.63,1.34112,3.7699128,0,469.6723811
18.5,11.11111111,8.51,1.34112,3.0368742,0,459.1908508
18.54166667,11.66666667,6.8,2.2352,3.0194209,0,151.732629
18.58333333,8.333333333,4.17,1.78816,4.4680448,0,140.2528577
18.625,8.333333333,5.96,3.12928,5.7770423,0,181.1807379
18.66666667,8.888888889,5.99,0.44704,0.6108655,0,45.41996459
18.70833333,6.666666667,4.66,0.89408,1.047198,0,0.99824098
18.75,6.666666667,4.5,0.44704,1.3439041,0,0
18.79166667,6.111111111,4.6,0.44704,2.2863823,0,0
18.83333333,6.111111111,5.82,0.89408,5.7944956,0,0
18.875,5.555555556,4.97,1.34112,0.6806787,0,0
18.91666667,5.555555556,5.12,1.34112,1.0646513,0,0
18.95833333,5.555555556,4.67,1.34112,1.0297447,0,0
19,5.555555556,4.52,1.34112,1.1519178,0,0
19.04166667,5.555555556,4.82,0.89408,0.6108655,0,0
19.08333333,5,4.27,0.44704,0.9075716,0,0
