$Tulloch branch 1 inflow year 2006 YC 04/11/2023,
",,,",
Jday,Inflow
128.6666667,219.3119071
128.7083333,219.8216056
128.75,218.5473595
128.7916667,219.5950729
128.8333333,219.9631884
128.875,218.6606258
128.9166667,219.3402237
128.9583333,211.0717825
129,12.54424466
129.0416667,1.75562792
129.0833333,1.75562792
129.125,1.75562792
129.1666667,19.39685686
129.2083333,211.4965312
129.25,219.793289
129.2916667,219.8499221
129.3333333,219.1420076
129.375,219.5384398
129.4166667,219.793289
129.4583333,219.9065553
129.5,219.7649724
129.5416667,219.7083392
129.5833333,219.7083392
129.625,219.8216056
129.6666667,219.8499221
129.7083333,219.6800227
129.75,219.5101232
129.7916667,219.5667563
129.8333333,219.8782387
129.875,219.9348719
129.9166667,219.6233895
129.9583333,211.3832649
130,20.04813818
130.0416667,44.00396432
130.0833333,45.53305961
130.125,45.50474303
130.1666667,45.47642645
130.2083333,48.90273255
130.25,126.2353108
130.2916667,216.1687668
130.3333333,219.6800227
130.375,219.6517061
130.4166667,219.7366558
130.4583333,219.5950729
130.5,219.6517061
130.5416667,219.7649724
130.5833333,219.7366558
130.625,220.2463542
130.6666667,220.2180377
130.7083333,222.1152485
130.75,223.3045448
130.7916667,223.4461277
130.8333333,222.5399972
130.875,221.3223843
130.9166667,217.1032139
130.9583333,116.9474727
131,15.71570154
131.0416667,43.77743169
131.0833333,44.1738638
131.125,44.08891406
131.1666667,44.06059748
131.2083333,44.20218038
131.25,56.71810845
131.2916667,219.3968569
131.3333333,224.8902733
131.375,197.0550757
131.4166667,191.9014583
131.4583333,191.8731417
131.5,191.5899759
131.5416667,191.9014583
131.5833333,192.1279909
131.625,193.6004531
131.6666667,225.3150219
131.7083333,226.589268
131.75,226.7025343
131.7916667,227.0423333
131.8333333,226.8441172
131.875,226.391052
131.9166667,226.7025343
131.9583333,227.2405493
132,218.4907263
132.0416667,22.34178111
132.0833333,1.245929492
132.125,1.245929492
132.1666667,1.245929492
132.2083333,1.245929492
132.25,10.81693331
132.2916667,120.7985275
132.3333333,221.8603993
132.375,226.6459012
132.4166667,226.3061022
132.4583333,225.853037
132.5,226.1928359
132.5416667,226.1645193
132.5833333,226.1362027
132.625,226.3344188
132.6666667,226.051253
132.7083333,226.1362027
132.75,226.3061022
132.7916667,225.9096701
132.8333333,226.2494691
132.875,226.8158007
132.9166667,222.285148
132.9583333,122.2426731
133,7.758742744
133.0416667,0.906130539
133.0833333,0.906130539
133.125,0.906130539
133.1666667,0.906130539
133.2083333,10.5620841
133.25,120.5719949
133.2916667,222.0869319
133.3333333,226.3627354
